inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
8185304934,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writerbe000cbe-11fe-4426-9c58-531aa6355fc4.xml","xml",65534,65534,3988,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
8191691534,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writer0bada1de-01a9-4625-8278-69e735f39dd2.xml","xml",65534,65534,3138,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
8185866855,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writer4969d978-be47-48b0-b100-f328f07ac1e0.xml","xml",65534,65534,1196,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
8185304937,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_RegistryExcludes.xml","xml",65534,65534,8560,59,144,1,"0100770",1690446546,1690446546,1690446546,-1,0
5936392775,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/5072dc23-8a78-11e5-80b4-806e6f6e6963.vhdx","vhdx",65534,65534,60957917184,59,133753792,1,"0100770",1690446549,1690446549,1690446549,-1,0
8191691535,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writer2707761b-2324-473d-88eb-eb007a359533.xml","xml",65534,65534,2328,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
8185304936,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writera6ad56c2-b509-4e6c-bb19-49d8f43532f0.xml","xml",65534,65534,1484,59,48,1,"0100770",1690446545,1690446545,1690446546,-1,0
8185866852,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writerd61d61c8-d73a-4eee-8cdd-f6f9786b7124.xml","xml",65534,65534,1746,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
8184618002,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Components.xml","xml",65534,65534,12462,59,144,1,"0100770",1690446548,1690446548,1690446548,-1,0
8184492741,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writere8132975-6f93-4464-a53e-1050253ae220.xml","xml",65534,65534,3982402,59,8864,1,"0100770",1690446545,1690446545,1690446545,-1,0
8185304939,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/BackupSpecs.xml","xml",65534,65534,1274,59,48,1,"0100770",1690446546,1690446546,1690446546,-1,0
8184492742,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writerafbab4a2-367d-4d15-a586-71dbb18f8485.xml","xml",65534,65534,3828,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
8185304933,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writer75dfb225-e2e4-4d39-9ac9-ffaff65ddf06.xml","xml",65534,65534,1628,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
5935604267,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/5072dc22-8a78-11e5-80b4-806e6f6e6963.vhdx","vhdx",65534,65534,333447168,59,714048,1,"0100770",1690446549,1690446549,1690446549,-1,0
8185304935,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writer542da469-d3e1-473c-9f4f-7847f01fc64f.xml","xml",65534,65534,1488,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
8185866854,5935604266,5,"/home/dsimsb/groups/dcback/research.computing/Thursday/WindowsImageBackup/capaldi/Backup 2023-07-27 081513/2ab5752a-db91-4528-a33f-682c3c8dbd67_Writer4dc3bdd4-ab48-4d07-adb0-3bee2926fd7f.xml","xml",65534,65534,2908,59,48,1,"0100770",1690446545,1690446545,1690446545,-1,0
